academic_term,academic_year,faculty_abbrev,faculty,subject_abbrev,subject,title,course_number_raw,course_credit_raw
Fall/Winter,2024-2025,AP,Faculty of Liberal Arts and Professional Studies,ADMS,Administrative Studies,Retailing Management,4225,3.00
Fall/Winter,2024-2025,AP,Faculty of Liberal Arts and Professional Studies,ADMS,Administrative Studies,New Product Management,4235,3.00
Fall/Winter,2024-2025,AP,Faculty of Liberal Arts and Professional Studies,ADMS,Administrative Studies,Digital Marketing,4245,3.00
Fall/Winter,2024-2025,AP,Faculty of Liberal Arts and Professional Studies,ADMS,Administrative Studies,Customer Relationship Management,4255,3.00
Fall/Winter,2024-2025,AP,Faculty of Liberal Arts and Professional Studies,ADMS,Administrative Studies,Marketing Analytics,4265,3.00
Fall/Winter,2024-2025,AP,Faculty of Liberal Arts and Professional Studies,ADMS,Administrative Studies,Brand Management,4285,3.00
Fall/Winter,2024-2025,AP,Faculty of Liberal Arts and Professional Studies,ADMS,Administrative Studies,Modeling and Simulation for Management,4345,3.00
Fall/Winter,2024-2025,AP,Faculty of Liberal Arts and Professional Studies,ADMS,Administrative Studies,Data Analysis Systems,4370,3.00
Fall/Winter,2024-2025,AP,Faculty of Liberal Arts and Professional Studies,ADMS,Administrative Studies,Identity and Inclusivity in Organizations: Advanced Topics,4444,3.00
Fall/Winter,2024-2025,AP,Faculty of Liberal Arts and Professional Studies,ADMS,Administrative Studies,Organizational Communication,4481,3.00
Fall/Winter,2024-2025,AP,Faculty of Liberal Arts and Professional Studies,ADMS,Administrative Studies,Negotiations for Human Resource Management,4490,3.00
Fall/Winter,2024-2025,AP,Faculty of Liberal Arts and Professional Studies,ADMS,Administrative Studies,Advanced Portfolio Management,4501,3.00
Fall/Winter,2024-2025,AP,Faculty of Liberal Arts and Professional Studies,ADMS,Administrative Studies,Derivative Securities,4503,3.00
Fall/Winter,2024-2025,AP,Faculty of Liberal Arts and Professional Studies,ADMS,Administrative Studies,Retirement and Estate Planning,4505,3.00
Fall/Winter,2024-2025,AP,Faculty of Liberal Arts and Professional Studies,ADMS,Administrative Studies,Insurance and Other Finance Topics,4507,3.00
Fall/Winter,2024-2025,AP,Faculty of Liberal Arts and Professional Studies,ADMS,Administrative Studies,Financial Risk Management,4509,3.00
Fall/Winter,2024-2025,AP,Faculty of Liberal Arts and Professional Studies,ADMS,Administrative Studies,Managing and Implementing Strategic Information Systems,4511,3.00
Fall/Winter,2024-2025,AP,Faculty of Liberal Arts and Professional Studies,ADMS,Administrative Studies,Advanced Financial Accounting,4520,3.00
Fall/Winter,2024-2025,AP,Faculty of Liberal Arts and Professional Studies,ADMS,Administrative Studies,Security Valuation,4536,3.00
Fall/Winter,2024-2025,AP,Faculty of Liberal Arts and Professional Studies,ADMS,Administrative Studies,Financial Management,4540,3.00
Fall/Winter,2024-2025,AP,Faculty of Liberal Arts and Professional Studies,ADMS,Administrative Studies,International Financial Management,4542,3.00
Fall/Winter,2024-2025,AP,Faculty of Liberal Arts and Professional Studies,ADMS,Administrative Studies,Information Systems Audits,4552,3.00
Fall/Winter,2024-2025,AP,Faculty of Liberal Arts and Professional Studies,ADMS,Administrative Studies,Taxation Of Personal Income in Canada,4561,3.00
Fall/Winter,2024-2025,AP,Faculty of Liberal Arts and Professional Studies,ADMS,Administrative Studies,Management Planning and Control Systems,4570,3.00
Fall/Winter,2024-2025,AP,Faculty of Liberal Arts and Professional Studies,ADMS,Administrative Studies,Business technology management integration project,4591,3.00
Fall/Winter,2024-2025,AP,Faculty of Liberal Arts and Professional Studies,ADMS,Administrative Studies,Comprehensive Emergency Management 2:  The Canadian Context,4705,3.00
Fall/Winter,2024-2025,AP,Faculty of Liberal Arts and Professional Studies,ADMS,Administrative Studies,Research Seminar in Disaster and Emergency Management,4708,3.00
Fall/Winter,2024-2025,AP,Faculty of Liberal Arts and Professional Studies,ADMS,Administrative Studies,Qualitative Methods,4721,3.00
Fall/Winter,2024-2025,AP,Faculty of Liberal Arts and Professional Studies,ADMS,Administrative Studies,Management Policy Part II,4910,3.00
Fall/Winter,2024-2025,AP,Faculty of Liberal Arts and Professional Studies,ADMS,Administrative Studies,Managing for Sustainability,4970,3.00
Fall/Winter,2024-2025,GS,Faculty of Graduate Studies,ALDR,Teaching, Training and Coaching in Conflict Analysis and Dispute Resolution,The Theory & Practice Of ADR,6301,6.00
Fall/Winter,2024-2025,GS,Faculty of Graduate Studies,ALDR,Teaching, Training and Coaching in Conflict Analysis and Dispute Resolution,Crown Indigenous Negotiations,6304,3.00
Fall/Winter,2024-2025,AP,Faculty of Liberal Arts and Professional Studies,ANTH,Anthropology,Making Sense of a Changing World: Anthropology Today,1120,6.00
Fall/Winter,2024-2025,AP,Faculty of Liberal Arts and Professional Studies,ANTH,Anthropology,What does it mean to be human? Introduction to Sociocultural Anthropology,1140,6.00
Fall/Winter,2024-2025,AP,Faculty of Liberal Arts and Professional Studies,ANTH,Anthropology,Global Capitalism, Culture, and Conflict,2100,6.00
Fall/Winter,2024-2025,AP,Faculty of Liberal Arts and Professional Studies,ANTH,Anthropology,Visualizing Ourselves, Visualizing Others: Media, Representation and Culture,2120,3.00
Fall/Winter,2024-2025,AP,Faculty of Liberal Arts and Professional Studies,ANTH,Anthropology,Sex, Gender and the Body: Cross-Cultural Approaches to the Body, Gender, Sexuality and Kinship,2170,6.00
Fall/Winter,2024-2025,AP,Faculty of Liberal Arts and Professional Studies,ANTH,Anthropology,Intercultural Training Skills,2300,3.00
Fall/Winter,2024-2025,AP,Faculty of Liberal Arts and Professional Studies,ANTH,Anthropology,The Anthropology of Digital Media and Visual Representation,3040,6.00
Fall/Winter,2024-2025,AP,Faculty of Liberal Arts and Professional Studies,ANTH,Anthropology,Archaeology and Society: Local Pasts in a Global Present,3130,3.00
Fall/Winter,2024-2025,AP,Faculty of Liberal Arts and Professional Studies,ANTH,Anthropology,The Anthropology of Global Health,3200,3.00
Fall/Winter,2024-2025,AP,Faculty of Liberal Arts and Professional Studies,ANTH,Anthropology,Women, Culture and Society,3230,6.00
Fall/Winter,2024-2025,AP,Faculty of Liberal Arts and Professional Studies,ANTH,Anthropology,Health & Illness in Cross-Cultural Perspective: Learning and Doing Medical Anthropology,3330,6.00
Fall/Winter,2024-2025,AP,Faculty of Liberal Arts and Professional Studies,ANTH,Anthropology,The Everyday Politics of Rage: Anthropological Perspectives on Populism,3380,3.00
Fall/Winter,2024-2025,AP,Faculty of Liberal Arts and Professional Studies,ANTH,Anthropology,The Oral Tradition in Caribbean Culture,3620,3.00
Fall/Winter,2024-2025,AP,Faculty of Liberal Arts and Professional Studies,ANTH,Anthropology,Directed Reading,4010,6.00
Fall/Winter,2024-2025,AP,Faculty of Liberal Arts and Professional Studies,ANTH,Anthropology,Anthropological Perspectives on Sound: Sonic Ethnographies and Human Experience,4140,3.00
Fall/Winter,2024-2025,AP,Faculty of Liberal Arts and Professional Studies,ANTH,Anthropology,Nature, Culture, Power: The Anthropology of Environment,4240,3.00
Fall/Winter,2024-2025,AP,Faculty of Liberal Arts and Professional Studies,ANTH,Anthropology,Ethnographic Approaches in the Anthropology of Christianity,4320,3.00
Fall/Winter,2024-2025,AP,Faculty of Liberal Arts and Professional Studies,ANTH,Anthropology,Advocacy and Social Movements,4340,6.00
Fall/Winter,2024-2025,AP,Faculty of Liberal Arts and Professional Studies,ANTH,Anthropology,The Gendered Politics of War,4420,3.00
Fall/Winter,2024-2025,GS,Faculty of Graduate Studies,ANTH,Anthropology,Graduate Seminar in Ethnographic Research, Practice, and Professionalization,5000,6.00
Fall/Winter,2024-2025,GS,Faculty of Graduate Studies,ANTH,Anthropology,Placement Option MA,5040,3.00
Fall/Winter,2024-2025,GS,Faculty of Graduate Studies,ANTH,Anthropology,Fem.Issues In Anth. Hist.& Current Deb,5160,3.00
Fall/Winter,2024-2025,GS,Faculty of Graduate Studies,ANTH,Anthropology,Discourses of Race and Racist Discourse,5175,3.00
Fall/Winter,2024-2025,GS,Faculty of Graduate Studies,ANTH,Anthropology,Technoscientific Cultures: Foundations in Anthropology of Science and Technology,5220,3.00
Fall/Winter,2024-2025,GS,Faculty of Graduate Studies,ANTH,Anthropology,Anthropological Approaches to Nationalism and Ethnicity: the Politics of Identity,5235,3.00
Fall/Winter,2024-2025,GS,Faculty of Graduate Studies,ANTH,Anthropology,Theoretical Concepts in Ethnographic Inquiry,6011,3.00
Fall/Winter,2024-2025,GS,Faculty of Graduate Studies,ANTH,Anthropology,Placement Option PhD,6040,3.00
Fall/Winter,2024-2025,AP,Faculty of Liberal Arts and Professional Studies,ARB,Arabic,Introduction to Modern Standard Arabic,1000,6.00
Fall/Winter,2024-2025,AP,Faculty of Liberal Arts and Professional Studies,ARB,Arabic,Intermediate Arabic,2000,6.00
Fall/Winter,2024-2025,AP,Faculty of Liberal Arts and Professional Studies,ARB,Arabic,Advanced Standard Arabic,3000,6.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,ARTH,Art History,Introduction to Art History,1130,6.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,ARTH,Art History,The Art of Asia,2340,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,ARTH,Art History,Arts of the African Diaspora,2390,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,ARTH,Art History,Contemporary Art,2680,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,ARTH,Art History,South Asian Art and the Global,3000,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,ARTH,Art History,Art and Diaspora,3346,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,ARTH,Art History,Curatorial Studies: Practices of Display,3611,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,ARTH,Art History,The Visual Culture of Gender and Sexuality,3680M,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,ARTH,Art History,New Media Art: From Duchamp to the Postdigital,3999,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,ARTH,Art History,Independent Studies: Art History,4100,6.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,ARTH,Art History,Art History: Then and Now,4320,3.00
Fall/Winter,2024-2025,FA,School of the Arts. Media. Performance and Design,ARTH,Art History,Art, Music, Image, Sound: Intersections,4940,3.00
Fall/Winter,2024-2025,GS,Faculty of Graduate Studies,ARTH,Art History,Methods:  Historiography and Contemporary Methodologies,5100,3.00
Fall/Winter,2024-2025,GS,Faculty of Graduate Studies,ARTH,Art History,Curatorial Practice,5175,3.00
Fall/Winter,2024-2025,GS,Faculty of Graduate Studies,ARTH,Art History,Placement,5190,3.00
Fall/Winter,2024-2025,GS,Faculty of Graduate Studies,ARTH,Art History,Individualized Reading,5500B,3.00
Fall/Winter,2024-2025,GS,Faculty of Graduate Studies,ARTH,Art History,Research and Professional Practice II,6002,0.00
Fall/Winter,2024-2025,SB,Schulich School of Business,ARTM,Arts and Media,Cultural Policy,6300,3.00
Fall/Winter,2024-2025,SB,Schulich School of Business,ARTM,Arts and Media,Managing the Broadcast & Digital Worlds: Strategy and Change in Television and Online Media,6340,3.00
Fall/Winter,2024-2025,SB,Schulich School of Business,ARTM,Arts and Media,Arts, Media and Entertainment: Managing Strategic and Business Solutions in the Digital Media Universe,6360,3.00
Fall/Winter,2024-2025,SB,Schulich School of Business,ARTM,Arts and Media,Individual Study: Selected Problems in Arts and Cultural Management,6900,3.00
Fall/Winter,2024-2025,AP,Faculty of Liberal Arts and Professional Studies,ASL,American Sign Language,American Sign Language, Level II,2000,6.00
Fall/Winter,2024-2025,ED,Faculty of Education,AUCO,Aural Communications,Classroom Amplification for Deaf/Hard of Hearing Learners,3565,3.00
Fall/Winter,2024-2025,SC,Faculty of Science,BC,Bethune College,First-Year Success Seminar.,1800,3.00
Fall/Winter,2024-2025,SC,Faculty of Science,BC,Bethune College,Advanced Peer Leadership,3010,3.00
Fall/Winter,2024-2025,SC,Faculty of Science,BCHM,Biochmistry,Cell Biology,2021,3.00
Fall/Winter,2024-2025,SC,Faculty of Science,BCHM,Biochmistry,Macromolecules of Biochemical Interest,3051,3.00
Fall/Winter,2024-2025,SC,Faculty of Science,BCHM,Biochmistry,Molecular Biology II: Regulation of Gene Expression,3130,3.00
Fall/Winter,2024-2025,SC,Faculty of Science,BCHM,Biochmistry,Biochemistry Research Project,4000,8.00
Fall/Winter,2024-2025,SC,Faculty of Science,BCHM,Biochmistry,Biotechnology,4290,4.00
Fall/Winter,2024-2025,GS,Faculty of Graduate Studies,BFSL,Banking and Financial Services Law,Priorities and Priority Claims in Bankruptcy,6773,3.00
Fall/Winter,2024-2025,GS,Faculty of Graduate Studies,BFSL,Banking and Financial Services Law,Introduction to Financial Law,6800,3.00
Fall/Winter,2024-2025,GS,Faculty of Graduate Studies,BFSL,Banking and Financial Services Law,Advanced Banking Law,6914,3.00
Fall/Winter,2024-2025,GL,College universitaire Glendon,BIOL,Biology,Introduction aux sciences biologiques,1000,6.00
Fall/Winter,2024-2025,SC,Faculty of Science,BIOL,Biology,Biology I - Cells, Molecular Biology and Genetics,1000,3.00
Fall/Winter,2024-2025,SC,Faculty of Science,BIOL,Biology,Biology II - Evolution, Ecology, Biodiversity and Conservation Biology,1001,3.00
Fall/Winter,2024-2025,SC,Faculty of Science,BIOL,Biology,Introduction to Biology,1500,3.00
Fall/Winter,2024-2025,SC,Faculty of Science,BIOL,Biology,Research Practicum,1602,0.00
Fall/Winter,2024-2025,SC,Faculty of Science,BIOL,Biology,Biochemistry,2020,3.00
Fall/Winter,2024-2025,SC,Faculty of Science,BIOL,Biology,Animals,2030,4.00
Fall/Winter,2024-2025,SC,Faculty of Science,BIOL,Biology,Ecology,2050,3.00
Fall/Winter,2024-2025,SC,Faculty of Science,BIOL,Biology,Research Methods in Cell and Molecular Biology,2070,3.00
Fall/Winter,2024-2025,SC,Faculty of Science,BIOL,Biology,Current Topics in Biophysics,2090,3.00
Fall/Winter,2024-2025,GL,College universitaire Glendon,BIOL,Biology,Ressources énergétiques et santé des écosystèmes,2205,6.00
Fall/Winter,2024-2025,GL,College universitaire Glendon,BIOL,Biology,Fundamentals of Conservation Biology,2310,3.00
Fall/Winter,2024-2025,SC,Faculty of Science,BIOL,Biology,Research Practicum,2601,0.00
Fall/Winter,2024-2025,SC,Faculty of Science,BIOL,Biology,Clinical Microbiology for Nurses,2900,3.00
Fall/Winter,2024-2025,GL,College universitaire Glendon,BIOL,Biology,Behavioural Ecology,3001,3.00
Fall/Winter,2024-2025,SC,Faculty of Science,BIOL,Biology,Physiology of the Invertebrates,3030,4.00
Fall/Winter,2024-2025,SC,Faculty of Science,BIOL,Biology,Animal Physiology I,3060,4.00
Fall/Winter,2024-2025,SC,Faculty of Science,BIOL,Biology,Introduction to Drug Discovery and Development,3075,3.00
Fall/Winter,2024-2025,SC,Faculty of Science,BIOL,Biology,Molecular Biology I: Nucleic Acid Metabolism,3110,3.00
Fall/Winter,2024-2025,SC,Faculty of Science,BIOL,Biology,Molecular Biology II: Regulation of Gene Expression,3130,3.00
Fall/Winter,2024-2025,SC,Faculty of Science,BIOL,Biology,Microbiology,3150,4.00
Fall/Winter,2024-2025,SC,Faculty of Science,BIOL,Biology,Population Ecology,3171,3.00
Fall/Winter,2024-2025,SC,Faculty of Science,BIOL,Biology,Processes of Evolution,3200,3.00
Fall/Winter,2024-2025,GL,College universitaire Glendon,BIOL,Biology,Biology of insects and related arthropods,3225,3.00
Fall/Winter,2024-2025,SC,Faculty of Science,BIOL,Biology,Plant Ecology,3290,4.00
Fall/Winter,2024-2025,GL,College universitaire Glendon,BIOL,Biology,Avian Ecology,3310,3.00
Fall/Winter,2024-2025,SC,Faculty of Science,BIOL,Biology,Sensory Systems,3380,3.00
Fall/Winter,2024-2025,SC,Faculty of Science,BIOL,Biology,Research Practicum,3601,0.00
Fall/Winter,2024-2025,SC,Faculty of Science,BIOL,Biology,Biology Internship Work Term,3901,0.00
Fall/Winter,2024-2025,SC,Faculty of Science,BIOL,Biology,Biology Internship Work Term,3903,0.00
Fall/Winter,2024-2025,GL,College universitaire Glendon,BIOL,Biology,Honours Thesis in Biology,4000,3.00
Fall/Winter,2024-2025,GL,College universitaire Glendon,BIOL,Biology,Honours Thesis in Biology,4000,6.00
Fall/Winter,2024-2025,SC,Faculty of Science,BIOL,Biology,Honours Thesis,4000,3.00
Fall/Winter,2024-2025,ED,Faculty of Education,BIOL,Biology,Teaching Biology in the Intermediate-Senior Divisions - B,4001,3.00
Fall/Winter,2024-2025,SC,Faculty of Science,BIOL,Biology,Biology of Cancer,4010,3.00
Fall/Winter,2024-2025,SC,Faculty of Science,BIOL,Biology,Proteomics,4030,3.00
Fall/Winter,2024-2025,SC,Faculty of Science,BIOL,Biology,Cell and Molecular Biology of Development,4061,3.00
Fall/Winter,2024-2025,SC,Faculty of Science,BIOL,Biology,Quantitative Methods in Biology,4085,4.00
Fall/Winter,2024-2025,SC,Faculty of Science,BIOL,Biology,Current Topics and Methods in Cell Biology,4141,3.00
Fall/Winter,2024-2025,SC,Faculty of Science,BIOL,Biology,Membrane Transport,4151,3.00
Fall/Winter,2024-2025,SC,Faculty of Science,BIOL,Biology,Advanced Virology,4155,3.00
Fall/Winter,2024-2025,SC,Faculty of Science,BIOL,Biology,Selected Readings in Biology,4200,3.00
Fall/Winter,2024-2025,GL,College universitaire Glendon,BIOL,Biology,Animal Communication and Sensory Ecology,4215,3.00
Fall/Winter,2024-2025,SC,Faculty of Science,BIOL,Biology,Conservation Biology,4245,3.00
Fall/Winter,2024-2025,SC,Faculty of Science,BIOL,Biology,Biodiversity,4255,3.00
Fall/Winter,2024-2025,SC,Faculty of Science,BIOL,Biology,Fungi: Threads of Life,4275,3.00
Fall/Winter,2024-2025,SC,Faculty of Science,BIOL,Biology,Biotechnology,4290,4.00
Fall/Winter,2024-2025,SC,Faculty of Science,BIOL,Biology,Physiology of Circadian Timing,4310,3.00
Fall/Winter,2024-2025,SC,Faculty of Science,BIOL,Biology,Fish Biology,4340,3.00
Fall/Winter,2024-2025,SC,Faculty of Science,BIOL,Biology,Neurobiology,4370,3.00
Fall/Winter,2024-2025,SC,Faculty of Science,BIOL,Biology,Population Genetics,4390,3.00
Fall/Winter,2024-2025,GL,College universitaire Glendon,BIOL,Biology,Advanced Readings in Evolutionary Ecology,4450,3.00
Fall/Winter,2024-2025,SC,Faculty of Science,BIOL,Biology,Cellular and Molecular Basis of Muscle Physiology,4510,3.00
Fall/Winter,2024-2025,SC,Faculty of Science,BIOL,Biology,Research Practicum,4602,0.00
Fall/Winter,2024-2025,SC,Faculty of Science,BIOL,Biology,Environmental Contaminants: Impacts on Organisms and Ecosystems,4720,3.00
Fall/Winter,2024-2025,GS,Faculty of Graduate Studies,BIOL,Biology,Topics in Molecular Biology I: Gene Expressions,5027,1.50
Fall/Winter,2024-2025,GS,Faculty of Graduate Studies,BIOL,Biology,Intro. To Biostatistics,5081,3.00
Fall/Winter,2024-2025,GS,Faculty of Graduate Studies,BIOL,Biology,Advanced Topics in Ecology and Evolution,5088,1.50
Fall/Winter,2024-2025,GS,Faculty of Graduate Studies,BIOL,Biology,Vascular Biology in Health and Disease,5134,3.00
Fall/Winter,2024-2025,GS,Faculty of Graduate Studies,BIOL,Biology,Advanced Exercise Physiology I: Muscle,5139,3.00
Fall/Winter,2024-2025,GS,Faculty of Graduate Studies,BIOL,Biology,Fundamentals of Neuroscience I: Structures, Neurons and Synapses,5146,3.00
Fall/Winter,2024-2025,GS,Faculty of Graduate Studies,BIOL,Biology,Current Topics in Epithelial Physiology,5152,1.50
Fall/Winter,2024-2025,GS,Faculty of Graduate Studies,BIOL,Biology,M.Sc. Research Evaluation,6022,3.00
Fall/Winter,2024-2025,GS,Faculty of Graduate Studies,BIOL,Biology,Ph.D. Research Evaluation,7022,3.00
Fall/Winter,2024-2025,GS,Faculty of Graduate Studies,BIOL,Biology,Ph.D. Research Evaluation,7024,3.00
Fall/Winter,2024-2025,GS,Faculty of Graduate Studies,BIOT,Biotechnology,Science Communication and Writing,5020,3.00
Fall/Winter,2024-2025,GS,Faculty of Graduate Studies,BIOT,Biotechnology,Laboratory Skills in Biotechnology,5040,3.00
Fall/Winter,2024-2025,GS,Faculty of Graduate Studies,BLIS,International Business Law,International Commercial Arbitration for Business Law,6298,6.00
Fall/Winter,2024-2025,GS,Faculty of Graduate Studies,BLIS,International Business Law,Comparative Legal Studies in International Business,6501,6.00
